,date,cases_daily,tweets_daily,cases_total,tweets_total,sentiment_afn,sentiment_ensemble,sentiment_textblob,sentiment_vader
76,4/8/20,31533,125361,428654,10714251,-0.12518247301792426,-0.07213567217874778,0.17377015180159694,-0.01864216143776776
77,4/9/20,34126,119297,462780,10833548,-0.10138561740865236,-0.035147572864363714,0.20572185386053302,0.02991693001500456
78,4/10/20,33755,113206,496535,10946754,-0.08631167959295444,-0.034591806088016534,0.2089553557231949,0.02017560906665722
79,4/11/20,29861,105718,526396,11052472,-0.1370154562137006,-0.0937021131689968,0.17492763767759512,-0.039756711250685806
80,4/12/20,28917,97693,555313,11150165,-0.1757444238584136,-0.13164709856386847,0.14462653414267146,-0.07250263580809269
81,4/13/20,25306,107838,580619,11258003,-0.17008846603238192,-0.1194198705465606,0.14681281181030809,-0.061351286188542076
82,4/14/20,27051,110527,607670,11368530,-0.1361839188614547,-0.0761533380983832,0.1467062346756901,-0.012512779682792408
83,4/15/20,28680,115107,636350,11483637,-0.18032786885245905,-0.12175627894046408,0.12823720538281774,-0.06071741944451686
84,4/16/20,31242,118077,667592,11601714,-0.14211065660543545,-0.08704489443329355,0.16518881746656844,-0.02742278343792609
85,4/17/20,32114,94996,699706,11696710,-0.14727988546886184,-0.08764579561244684,0.16248052549581032,-0.02085350962145771
86,4/18/20,28253,106740,727959,11803450,-0.15172381487727188,-0.09301105489975643,0.16074573730560238,-0.02964212104178376
87,4/19/20,26417,111293,754376,11914743,-0.17701023424653844,-0.10209986252504648,0.13548920417276922,-0.03694751691481046
88,4/20/20,25306,121636,779682,12036379,-0.1980663619323227,-0.13629188727021607,0.14706172514716034,-0.07577526390213424
89,4/21/20,27341,117762,807023,12154141,-0.1426436371664883,-0.08827125897997656,0.20259506462186444,-0.033975306125914984
90,4/22/20,28127,124617,835150,12278758,-0.11926141698163173,-0.06498310824365855,0.1966906601828001,-0.014219568758676582
91,4/23/20,34020,127106,869170,12405864,-0.09301685207621983,-0.03321637058832788,0.1817066070838512,0.02412946674429217
92,4/24/20,36188,116357,905358,12522221,-0.14012908548690672,-0.07803570047354264,0.1946165679761424,-0.017532249886126342
93,4/25/20,32796,114863,938154,12637084,-0.19212453096297327,-0.13654527567624036,0.13282780355728124,-0.07237317499978235
94,4/26/20,27631,106957,965785,12744041,-0.20894378114569406,-0.15372532887048065,0.12411529867142868,-0.08333255420402598
95,4/27/20,22412,108664,988197,12852705,-0.1382794669807848,-0.08039461091069723,0.1827560185526025,-0.01916918206581758
96,4/28/20,24385,109474,1012582,12962179,-0.16664230776257374,-0.10400643075068056,0.14830005298061644,-0.04127920784843892
97,4/29/20,27327,112606,1039909,13074785,-0.1297799406781166,-0.07693195744454112,0.1529048185709465,-0.010212599683853464
98,4/30/20,29515,100803,1069424,13175588,-0.11006616866561514,-0.05673442258662936,0.1785264327450572,0.0014086882334851116
99,5/1/20,34037,96653,1103461,13272241,-0.1065460978965992,-0.046423804744808735,0.18357422946002716,0.01409164743981045
100,5/2/20,29078,101975,1132539,13374216,-0.19341995587153715,-0.13289531747977446,0.16078450600637412,-0.06716352047070362
101,5/3/20,25501,111901,1158040,13486117,-0.2033493891922324,-0.13279595356609866,0.13065120061482915,-0.05899857910116979
102,5/4/20,22335,115686,1180375,13601803,-0.16346835399270435,-0.1061926248638556,0.1342513355116436,-0.04843282678975847
103,5/5/20,23976,122299,1204351,13724102,-0.16909377836286474,-0.10550372447853212,0.17996058839401793,-0.034456536848216264
104,5/6/20,24980,124662,1229331,13848764,-0.16091511446952556,-0.10108934559047666,0.16406763889557366,-0.04450433973464246
105,5/7/20,27692,118802,1257023,13967566,-0.13232942206360165,-0.07951886331879937,0.1747276981868992,-0.020378444807326482
106,5/8/20,26906,99730,1283929,14067296,-0.11972325278251278,-0.06327083124435973,0.1876466459440489,-0.011160132357364905
